C,stockdate,symbol,totalposition,profit,comm,equity
1586.0,2017-02-10 13:51:41,j,0.0,-600.0,100.0,-700.0
1582.0,2017-02-10 13:53:42,j,1.0,-0.0,50.0,-50.0
1584.0,2017-02-10 13:58:41,j,2.0,200.0,50.0,150.0
1610.0,2017-02-10 14:00:11,j,4.0,5200.0,100.0,5100.0
1599.0,2017-02-10 14:09:41,j,6.0,-4400.0,100.0,-4500.0
1607.0,2017-02-10 14:12:42,j,7.0,4800.0,50.0,4750.0
1626.0,2017-02-10 14:25:42,j,8.0,13300.0,50.0,13250.0
1626.0,2017-02-10 14:25:42,j,9.0,0.0,50.0,-50.0
1598.0,2017-02-10 14:38:42,j,8.0,-25200.0,50.0,-25250.0
1598.0,2017-02-10 14:38:42,j,7.0,0.0,50.0,-50.0
1595.0,2017-02-10 14:39:42,j,9.0,-2100.0,100.0,-2200.0
1602.0,2017-02-10 14:42:41,j,7.0,6300.0,100.0,6200.0
1602.0,2017-02-10 14:42:43,j,6.0,0.0,50.0,-50.0
1584.0,2017-02-10 14:45:41,j,5.0,-10800.0,50.0,-10850.0
1575.0,2017-02-10 14:48:42,j,4.0,-4500.0,50.0,-4550.0
1579.5,2017-02-10 14:51:41,j,2.0,1800.0,100.0,1700.0
1589.0,2017-02-10 14:58:14,j,1.0,1900.0,50.0,1850.0
1586.5,2017-02-10 14:59:00,j,1.0,-250.0,0.0,-250.0
